Event,Day,Link to News,Sentiment,Hour - Minute (EDT),Hour - Minute (UTC),Dune Script ,CSV?
Super Tuesday Primaries,"March 5, 2024",https://vote.org/election-calendar/ (Super Tuesday Primaries),,11:00 p.m. EST,"4:00 a.m. on March 6, 2024",,
Donald Trump found guilty in New York trial (34 felony counts).,"May 30, 2024",https://www.nytimes.com/live/2024/05/30/nyregion/trump-trial-verdict (Donald Trump found guilty in New York trial),,4:55 p.m.,"8:55 p.m. on May 30, 2024",https://dune.com/queries/4907159,Y
"Trump survives sniper assassination attempt at rally in Butler, Pennsylvania","July 13, 2024","https://abcnews.go.com/US/timeline-donald-trump-assassination-attempt-pennsylvania-rally/story?id=111941514 (Trump survives sniper assassination attempt at rally in Butler, PA)",,1:31 p.m.,"5:31 p.m. on July 13, 2024",https://dune.com/queries/4907162,Y
Republican National Convention — Trump officially nominated.,"July 15 - 18, 2024",https://www.cbsnews.com/news/rnc-roll-call-of-states-2024/ (Republican National Convention — Trump officially nominated),,1:15 p.m.,"5:15 p.m. on July 15, 2024",,
President Biden Withdraws from Presidential Race,"July 21, 2024",https://www.nytimes.com/live/2024/07/21/us/biden-drops-out-election (President Biden Withdraws from Presidential Race),,11:00 a.m.,"3:00 p.m. on July 21, 2024",https://dune.com/queries/4907165,Y
Kamala Harris becomes Democratic nominee after Biden withdraws.,"July 21, 2024",https://www.nytimes.com/live/2024/07/21/us/biden-drops-out-election (Kamala Harris becomes Democratic nominee after Biden withdraws),,11:30 a.m.,"3:30 p.m. on July 21, 2024",https://dune.com/queries/4907168,Y
Democratic National Convention — Harris formally nominated.,"August 19–22, 2024",https://www.demconvention.com/wp-content/uploads/2024/08/2024-DNC-Program.pdf (Democratic National Convention — Harris formally nominated),,9:00 p.m.,"1:00 a.m. on August 23, 2024",https://dune.com/queries/4907172,Y
Robert F. Kennedy Jr. Suspends Independent Presidential Campaign,"August 23, 2024",https://www.youtube.com/watch?v=7iT2n5eU6S4 (Robert F. Kennedy Jr. Suspends Independent Presidential Campaign),,12:15 p.m.,"4:15 p.m. on August 23, 2024",https://dune.com/queries/4907179,Y
First Presidential Debate — Harris vs. Trump (hosted by ABC News).,"September 10, 2024","https://www.cbsnews.com/news/trump-harris-presidential-debate-2024-what-to-know/ (First Presidential Debate — Harris vs. Trump, hosted by ABC News)",,9:00 p.m.,"1:00 a.m. on September 11, 2024",https://dune.com/queries/4907184,Y
Taylor Swift endorses Kamala Harris (Instagram post after debate).,"September 10, 2024","https://deadline.com/2024/09/taylor-swift-kamala-harris-endorsement-presidential-debate-1236086278/ (Taylor Swift endorses Kamala Harris, via Instagram post after debate)",,10:15 p.m.,"2:15 a.m. on September 11, 2024",https://dune.com/queries/4907188,Y
"Attempted assassination of Donald Trump (at golf club, no injuries).","September 15, 2024",https://abcnews.go.com/US/trump-safe-shots-fired-vicinity-florida-sheriff/story?id=113738135 (Attempted assassination of Donald Trump at golf club),,1:31 p.m.,"5:31 p.m. on September 15, 2024",,
Vice Presidential Debate — JD Vance vs. Tim Walz (hosted by CBS).,"October 1, 2024","https://www.cbsnews.com/news/vice-presidential-debate-2024-jd-vance-tim-walz-what-to-know/ (Vice Presidential Debate — JD Vance vs. Tim Walz, hosted by CBS)",,9:00 p.m.,"1:00 a.m. on October 2, 2024",https://dune.com/queries/4907193,Y
Second Presidential Debate — Trump vs. Harris.,"October 15, 2024",https://www.aljazeera.com/news/2024/9/21/harris-challenges-trump-to-second-us-presidential-debate (Second Presidential Debate — Trump vs. Harris),,9:00 p.m.,"1:00 a.m. on October 24, 2024",,
Final Presidential Debate — Trump vs. Harris.,"October 22, 2024",https://www.aljazeera.com/news/2024/9/21/harris-challenges-trump-to-second-us-presidential-debate (Final Presidential Debate — Trump vs. Harris),,9:00 p.m.,"1:00 a.m. on October 24, 2024",,
"Election Day — Trump defeats Harris, wins presidency.","November 5, 2024","https://apnews.com/article/trump-harris-election-2024-voting-ap-norc-3b5f4085cd53ce39e54e752c65f18e9c (Election Day — Trump defeats Harris, wins presidency)",,2:30 a.m. EST,"7:30 a.m. on November 6, 2024",https://dune.com/queries/4907211,Y
